JobTitle,Company,Location,Description,PostDate,JobUrl
"Data Scientist - AI/ML Specialist Jobs in India, Noida",ANI Calls India Private Limited,"Delhi, Delhi","Job Description : Develop and support internal community of ML related subject matter experts.
Design solutions that make the best use of cloud platform and AI…",Just posted,https://in.indeed.com//rc/clk?jk=e8f6e7c28810c5f5&fccid=3799fa8ac2d1edf2&vjs=3
Data Scientist,iGloble Solutions,"Kalkaji Devi, Delhi","Experience in data analysis and methodologies.
Collaborate with the team to analyze problems.
Write functions/scripts to build datasets base.",30+ days ago,https://in.indeed.com//rc/clk?jk=254483a2a7f91f64&fccid=e233b80a86da0ac4&vjs=3
Machine Learning Internship,Faintel,"Delhi, Delhi","Faintel - Financial Services, driven by artificial intelligence.
Faintel operates at the intersection of finance and artificial intelligence.",Today,https://in.indeed.com//rc/clk?jk=968e53a699b681d4&fccid=dd616958bd9ddc12&vjs=3
Data Scientist,Mahajan Imaging,"Defence Colony, Delhi, Delhi","Responsible for driving Mahajan Imaging's new focus on medical informatics and data analytics:
Preferably well aquainted with SQL based PACS and Hospital…",30+ days ago,https://in.indeed.com//rc/clk?jk=66ccc5c08382f2db&fccid=8c384b556556a33b&vjs=3
Data Scientist,"ESRI, Inc.","New Delhi, Delhi","Our team develops tools, APIs, and AI models for geospatial analysts and data scientists, enabling them to leverage the latest research in spatial data science,…",30+ days ago,https://in.indeed.com//rc/clk?jk=9dbb7e46d46462ab&fccid=bebf9775d7d3bca8&vjs=3
India Market Unit - Data Science Consultant - 09,Accenture,"New Delhi, Delhi","Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and…",2 days ago,https://in.indeed.com//rc/clk?jk=c77a384abb85ef51&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist,Team Computers,"Delhi, Delhi","Extraction of actionable data from unstructured files like TRF, Medical images etc.
Experience with common data science toolkits, such as R, Matlab, Python…",30+ days ago,https://in.indeed.com//rc/clk?jk=fa2cc809a66e1051&fccid=5f5253908aa59546&vjs=3
Data Scientist,Ank Aha,"New Delhi, Delhi","Ensure data integrity and consistency across relevant data systems.
Support in providing data analytics for all data and technology related projects esp.",30+ days ago,https://in.indeed.com//rc/clk?jk=46c05f5e4257bce1&fccid=bb06134d61a9b592&vjs=3
Data Analytics Internship,Kisan Finance (IFFCO Group),"Delhi, Delhi","Kisan Rural Finance (Kisan Finance) is a company promoted by Indian Farmers Fertiliser Cooperative Limited (IFFCO), a unique organization working tirelessly for…",11 days ago,https://in.indeed.com//rc/clk?jk=b73149c5573134b8&fccid=8dd01c126a038cae&vjs=3
Specialist - data scientist,RGF Professional Recruitment,Delhi,"Experience with unstructured data and big data.
Competent at analyzing both quantitative and qualitative data.
A from tier 1 institutions.",4 days ago,https://in.indeed.com//rc/clk?jk=6e9e149b66fab313&fccid=3fd016e76501eb7e&vjs=3
