,JobTitle,Company,Location,Summary,PostDate,JobUrl
0,Administrative Business Partner,Google,"Bengaluru, Karnataka","Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place, we're currently unable to extend offers to anyone who…",4 days ago,https://in.indeed.com//rc/clk?jk=70023c86205af6aa&fccid=a5b4499d9e91a5c6&vjs=3
1,Associate - Gurgaon 10 C - Energy,PwC,"Delhi, Delhi","A career in our Government and Public Sector Transformation Management practice, within General Consulting services, will provide you with the opportunity to…",3 days ago,https://in.indeed.com//rc/clk?jk=a98b84eb22efc65e&fccid=5e964c4afc56b180&vjs=3
2,Clerk And Computer Operator,SHREE GANESH MEDICOS,"Delhi, Delhi",COMPUTER OPERATOR FOR PHARMACY STORE IN DELHI FOR BILLING AND DATA ENTRY.,3 days ago,https://in.indeed.com//rc/clk?jk=592301b7dada62a1&fccid=3a836173f6bfc857&vjs=3
3,Event Coordinator,Walmart Global Technology Services,"Bengaluru, Karnataka","Conducting short- and long-term planning and management of events for Walmart.
Working and coordinating with various teams to assemble creative and innovative…",5 days ago,https://in.indeed.com//rc/clk?jk=7079e6aa8efa6418&fccid=822bc5d9a49270ea&vjs=3
4,Coordination Responsible Production,Tetra Pak,"Pune, Maharashtra","At Tetra Pak we touch millions of lives every day, ensuring better nutrition and healthier lifestyles through safepackaging and food processing solutions.",5 days ago,https://in.indeed.com//rc/clk?jk=b5d9df8881da6c3c&fccid=705a30fae5ffadc9&vjs=3
5,Sub Inspector,CRPF,"New Delhi, Delhi","CRPF Recruitment Notification 2021 - Sub Inspector Vacancy - Salary 81,100 - Apply NowCRPF Recruitment 2021-22: Employees State Insurance Corporation (CRPF)…",2 days ago,https://in.indeed.com//rc/clk?jk=66ae4c194a881429&fccid=421ca6756c34f4b5&vjs=3
6,Data Researcher III (Transcripts),S&P Global,"Hyderabad, Telangana","The Role : Editors – grade 7.3.
The Team: Candidate will be part of energetic and highly-motivated Business Transcription team based in Hyderabad, India.",3 days ago,https://in.indeed.com//rc/clk?jk=6fac7115202190f3&fccid=b716e44d2c6283e7&vjs=3
7,DGCA Coordinator,Air India,"New Delhi, Delhi","Alliance Air Aviation Limited Recruitment 2021 - DGCA Coordinator Vacancy - 80,000 Salary - Apply NowAir India Recruitment 2021-22: Employees State Insurance…",3 days ago,https://in.indeed.com//rc/clk?jk=0ed2fb35ad8b0dbc&fccid=5b8a9a7aff3f1856&vjs=3
8,Project Assistant,IIT Kanpur,"Kanpur, Uttar Pradesh","IIT Kanpur Job Notification 2021 - Project Assistant Vacancy - 27,000 Salary - Apply NowIIT Kanpur Recruitment 2021-22: Employees State Insurance Corporation …",3 days ago,https://in.indeed.com//rc/clk?jk=2097d3375cca8165&fccid=33af0960d0297b67&vjs=3
9,Post Graduate Fellowship,Development Alternatives,"Delhi, Delhi",Post Graduate Fellowship Jobs In Development Alternatives Posted On 25th February 2021Company Name: Development Alternatives Designation: Post Graduate…,4 days ago,https://in.indeed.com//rc/clk?jk=7fdc2e6bdaaa1193&fccid=be605aabcab69378&vjs=3
10,Fresher Hiring,Cuelogic,"Pune, Maharashtra","Greetings from Cuelogic Technologies Pvt. Ltd.!
We are an outsourced product development company working with cutting edge technologies in the market from 12…",3 days ago,https://in.indeed.com//rc/clk?jk=7d2e397c29f586ce&fccid=21ad8c59c500150c&vjs=3
11,Legal Executive (Off roll),Boston Scientific Corporation,"New Delhi, Delhi","Type : member of legal & compliance team.
Reporting to the Compliance Counsel.
Drive compliance initiatives of the country – follow up from employees, dealers,…",3 days ago,https://in.indeed.com//rc/clk?jk=4c2769282a5edaa4&fccid=d13187a50c252e33&vjs=3
12,Registrar,Revenue Department,"New Delhi, Delhi",Revenue Department Career 2021 - Registrar Vacancies - Apply SoonRevenue Department Recruitment 2021-22: Employees State Insurance Corporation (Revenue…,2 days ago,https://in.indeed.com//rc/clk?jk=20e01e8fe5b9fd9e&fccid=dd616958bd9ddc12&vjs=3
13,Assoc. Quality - Q&V,BAXTER,"Ahmedabad, Gujarat","This is where you save and sustain lives.
At Baxter, we are deeply connected by our mission.
No matter your role at Baxter, your work makes a positive impact on…",2 days ago,https://in.indeed.com//rc/clk?jk=c0297b757465779e&fccid=a108770a4ae3a921&vjs=3
14,Vikas Mitra,Government of Bihar,"Patna, Bihar",Collectorate Saharsa Career 2021 - Vikas Mitra Vacancies - Apply NowGovernment of Bihar Recruitment 2021-22: Employees State Insurance Corporation (Government…,3 days ago,https://in.indeed.com//rc/clk?jk=53c0d06f6d833079&fccid=82b51b5d2d3b1218&vjs=3
15,Quality Auditor,Columbia Sportswear Company,"New Delhi, Delhi","At Columbia, we’re as passionate about the outdoors as you are.
And while our gear is available worldwide, we’re proud to be based in the Pacific Northwest,…",2 days ago,https://in.indeed.com//rc/clk?jk=a7590db5df3af140&fccid=e87d9cecd33775c9&vjs=3
16,"Journalist, Asia Online",BBC,"Delhi, Delhi","The BBC News website is one of the world’s largest and most popular news sites, with mobile and desktop editions for different geographic audiences, and UK…",5 days ago,https://in.indeed.com//rc/clk?jk=e4a6c2d48fcca21f&fccid=40bdb3ff12c06472&vjs=3
17,BA - Healthcare,Cuelogic,"Pune, Maharashtra","We are looking to add a Business analyst who is meticulous, hard working and has excellent written and verbal communication.",3 days ago,https://in.indeed.com//rc/clk?jk=29617d4414e424ec&fccid=21ad8c59c500150c&vjs=3
